epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
115,2021-04-17,Brazil,RS,TOTAL,144,23121,4868,920426,23121,920426,203.22154,8090.06473,0.02512,877989,13610,3500110,30764.14234,1929651,16960.62639,540084,4747.05682
115,2021-04-17,Brazil,SC,TOTAL,61,12541,2377,854727,12541,854727,175.03658,11929.55046,0.01467,815227,148451,1827719,25509.74293,859583,11997.32637,322032,4494.64799
115,2021-04-17,Brazil,SE,TOTAL,26,3929,914,189573,3929,189573,170.92299,8246.98003,0.02073,170284,2320,386688,16822.05912,271229,11799.25488,99658,4335.41451
115,2021-04-17,Brazil,SP,TOTAL,771,88097,17746,2739823,88097,2739823,191.85284,5966.63707,0.03215,2358583,1088735,12035827,26210.96748,6082633,13246.42634,3006774,6547.98840
115,2021-04-17,Brazil,TO,TOTAL,17,2374,267,152951,2357,152684,150.93466,9724.35033,0.01552,130970,405,460233,29260.78890,144955,9215.97898,46252,2940.61923
115,2021-04-17,Brazil,TOTAL,TOTAL,2877,372149,68565,13912159,371678,13900091,175.74451,6569.91029,0.02675,12212890,5514677,43172148,20387.71548,26085155,12318.51421,9518727,4495.14576
116,2021-04-18,Brazil,AC,TOTAL,13,1418,71,75405,1418,75405,160.78282,8549.94983,0.01881,62798,44233,197954,22445.41831,82872,9396.61086,21448,2431.92526
116,2021-04-18,Brazil,AL,TOTAL,24,3968,1247,166708,3968,166708,118.89648,4995.21028,0.02380,158555,8803,402223,12052.14186,412263,12352.97872,141303,4233.97916
116,2021-04-18,Brazil,AM,TOTAL,9,12371,484,363586,12371,363586,298.48499,8772.52963,0.03402,311360,410,909902,21953.93183,533618,12875.02742,196286,4735.94900
116,2021-04-18,Brazil,AP,TOTAL,3,1467,114,103116,1467,103116,173.45941,12192.52930,0.01423,75190,2205,169813,20078.84304,78421,9272.57012,25939,3067.05087
116,2021-04-18,Brazil,BA,TOTAL,75,17303,2574,862334,17303,862334,116.33783,5797.95797,0.02007,828606,190000,1978117,13299.99656,2038291,13704.58031,622677,4186.60876
116,2021-04-18,Brazil,CE,TOTAL,27,16235,2775,623047,16218,622765,177.77991,6822.62022,0.02606,424581,87297,1803069,19744.34515,1139379,12476.66741,397376,4351.43020
